hectare,long,lat,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geometry,hectare_freq
30F,-73.95974537,40.78913822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,POINT (-73.95974537 40.78913822),1
30H,-73.95735217250001,40.7876005725,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,POINT (-73.95735217250001 40.7876005725),4
30I,-73.95682093571428,40.78785955285714,0.42857142857142855,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,POINT (-73.95682093571428 40.78785955285714),7
31A,-73.96393092,40.791652318888886,0.1111111111111111,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.3333333333333333,0.1111111111111111,POINT (-73.96393092 40.791652318888886),9
31B,-73.96314376285714,40.79146429428572,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,POINT (-73.96314376285714 40.79146429428572),7
31C,-73.9623436025,40.7912347925,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.75,POINT (-73.9623436025 40.7912347925),4
31D,-73.96111914363637,40.79058983272727,0.18181818181818182,0.0,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.45454545454545453,0.5454545454545454,POINT (-73.96111914363637 40.79058983272727),11
31E,-73.95998632199999,40.789956407,0.1,0.2,0.1,0.3,0.5,0.0,0.2,0.0,0.2,0.0,0.0,0.9,0.1,POINT (-73.95998632199999 40.789956407),10
31F,-73.95913283166666,40.789435535,0.3333333333333333,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,POINT (-73.95913283166666 40.789435535),6
31G,-73.95783165,40.7890103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,POINT (-73.95783165 40.7890103),1
31H,-73.957271224,40.788778856,0.2,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,POINT (-73.957271224 40.788778856),5
31I,-73.9562097925,40.78823466,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,POINT (-73.9562097925 40.78823466),4
32A,-73.9634219707143,40.79254918428571,0.2857142857142857,0.21428571428571427,0.0,0.07142857142857142,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.7857142857142857,0.14285714285714285,POINT (-73.9634219707143 40.79254918428571),14
32B,-73.96284404000001,40.792107263999995,0.3,0.0,0.2,0.1,0.7,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.5,POINT (-73.96284404000001 40.792107263999995),10
32C,-73.96155483789474,40.79173866894737,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.5789473684210527,0.0,0.0,0.0,0.0,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.10526315789473684,POINT (-73.96155483789474 40.79173866894737),19
32D,-73.96061853933334,40.79128853066666,0.4666666666666667,0.0,0.2,0.6666666666666666,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.6666666666666666,0.2,0.5333333333333333,0.26666666666666666,POINT (-73.96061853933334 40.79128853066666),15
32E,-73.959497857,40.790653807333335,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.4,0.5666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.26666666666666666,0.43333333333333335,POINT (-73.959497857 40.790653807333335),30
32F,-73.95845593333334,40.790584684,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.4666666666666667,0.13333333333333333,POINT (-73.95845593333334 40.790584684),15
32G,-73.95756321600001,40.79006535800001,0.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,POINT (-73.95756321600001 40.79006535800001),5
32H,-73.95634269,40.789548197500004,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,POINT (-73.95634269 40.789548197500004),4
32I,-73.95537013375,40.78894336,0.0,0.0,0.75,0.125,0.625,0.0,0.0,0.0,0.5,0.125,0.0,0.75,0.0,POINT (-73.95537013375 40.78894336),8
33A,-73.962970574,40.793482846,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,POINT (-73.962970574 40.793482846),5
33B,-73.96176156375,40.792637085625,0.0625,0.0,0.0625,0.0625,0.625,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.4375,0.3125,POINT (-73.96176156375 40.792637085625),16
33C,-73.961508475,40.792233573333334,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,POINT (-73.961508475 40.792233573333334),6
33D,-73.959729655,40.7917631725,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.25,0.25,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.5,POINT (-73.959729655 40.7917631725),12
33E,-73.95892875681818,40.79144943409091,0.13636363636363635,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.2727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.3181818181818182,POINT (-73.95892875681818 40.79144943409091),22
33F,-73.95838495625,40.79134672,0.25,0.125,0.125,0.625,0.875,0.25,0.0,0.0,0.125,0.75,0.0,0.5,0.25,POINT (-73.95838495625 40.79134672),8
33G,-73.9565438875,40.790710520000005,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,POINT (-73.9565438875 40.790710520000005),4
33H,-73.95657563500001,40.790234435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.95657563500001 40.790234435),2
33I,-73.95467044083334,40.7898498275,0.25,0.0,0.25,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.5833333333333334,0.3333333333333333,POINT (-73.95467044083334 40.7898498275),12
34A,-73.96245643625,40.794102975,0.5,0.375,0.375,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,POINT (-73.96245643625 40.794102975),8
34B,-73.96119146250001,40.79390406,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.25,POINT (-73.96119146250001 40.79390406),4
