,long,lat,geometry,approaches,indifferent,runs_from,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
476,-73.9706851546184,40.7780777016038,POINT (-73.9706851546184 40.7780777016038),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
477,-73.970475755546,40.7763348062134,POINT (-73.970475755546 40.7763348062134),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
478,-73.9716881838671,40.778553537087,POINT (-73.9716881838671 40.778553537087),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
479,-73.967418114684,40.7764595360054,POINT (-73.967418114684 40.7764595360054),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
480,-73.9771695272048,40.7724277276263,POINT (-73.9771695272048 40.7724277276263),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
481,-73.9699675160516,40.7773012642758,POINT (-73.9699675160516 40.7773012642758),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
482,-73.9758959798289,40.7694125671679,POINT (-73.9758959798289 40.7694125671679),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
483,-73.9540022445432,40.797940985497696,POINT (-73.9540022445432 40.797940985497696),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
484,-73.959077668148,40.7926045823346,POINT (-73.959077668148 40.7926045823346),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
485,-73.9576559099012,40.7992598626483,POINT (-73.9576559099012 40.7992598626483),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
486,-73.954595058342,40.7956567934304,POINT (-73.954595058342 40.7956567934304),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
487,-73.9545101041865,40.7903823616782,POINT (-73.9545101041865 40.7903823616782),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
488,-73.9711801122578,40.7786888942214,POINT (-73.9711801122578 40.7786888942214),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
489,-73.9587712679442,40.7944502501428,POINT (-73.9587712679442 40.7944502501428),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
490,-73.9741846413977,40.7762518164182,POINT (-73.9741846413977 40.7762518164182),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
491,-73.9707900566519,40.7771670550089,POINT (-73.9707900566519 40.7771670550089),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
492,-73.975086415444,40.7671990131313,POINT (-73.975086415444 40.7671990131313),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
493,-73.9557172336815,40.7921125657722,POINT (-73.9557172336815 40.7921125657722),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
494,-73.9691031094688,40.7706693835189,POINT (-73.9691031094688 40.7706693835189),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
495,-73.9615602805554,40.7945662185621,POINT (-73.9615602805554 40.7945662185621),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
496,-73.9746933852572,40.773313866931,POINT (-73.9746933852572 40.773313866931),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
497,-73.9714089647431,40.7767916587915,POINT (-73.9714089647431 40.7767916587915),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
498,-73.9692190295442,40.7763366309154,POINT (-73.9692190295442 40.7763366309154),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
499,-73.9736165917399,40.7724543901497,POINT (-73.9736165917399 40.7724543901497),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
500,-73.9642288873015,40.7820439983567,POINT (-73.9642288873015 40.7820439983567),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
501,-73.9577113026056,40.7904332453456,POINT (-73.9577113026056 40.7904332453456),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
502,-73.9713519158027,40.7798470142991,POINT (-73.9713519158027 40.7798470142991),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
503,-73.953287300494,40.793520326789,POINT (-73.953287300494 40.793520326789),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
504,-73.9764016030666,40.7689894344251,POINT (-73.9764016030666 40.7689894344251),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
505,-73.9741621946917,40.7752481472025,POINT (-73.9741621946917 40.7752481472025),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
506,-73.9738481771673,40.7706540698938,POINT (-73.9738481771673 40.7706540698938),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
507,-73.9551524422379,40.7910535596756,POINT (-73.9551524422379 40.7910535596756),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
508,-73.9770948563006,40.7724063459185,POINT (-73.9770948563006 40.7724063459185),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
509,-73.9591957793992,40.7949568873453,POINT (-73.9591957793992 40.7949568873453),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
510,-73.9700861859051,40.7770639340582,POINT (-73.9700861859051 40.7770639340582),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
511,-73.9710547484029,40.7723589827074,POINT (-73.9710547484029 40.7723589827074),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
512,-73.9757215415855,40.7668205976986,POINT (-73.9757215415855 40.7668205976986),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
513,-73.9735120882106,40.7715915415169,POINT (-73.9735120882106 40.7715915415169),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
514,-73.9565684577989,40.7936003940413,POINT (-73.9565684577989 40.7936003940413),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
515,-73.9737872335563,40.7726586835985,POINT (-73.9737872335563 40.7726586835985),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
516,-73.9565533783499,40.7974368491287,POINT (-73.9565533783499 40.7974368491287),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
517,-73.9678937289837,40.7782808361645,POINT (-73.9678937289837 40.7782808361645),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
518,-73.9750463844984,40.7666871742836,POINT (-73.9750463844984 40.7666871742836),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
